HOST	NAME	DATATYPE	ADDRESS	COMMENT	TAGLINK	RW	POU
	ROB_IN.Reals	REAL[1..64]			IN	RW	
	ROB_IN.Ints	INT[1..24]			IN	RW	
	ROB_IN.Strings[1].Length	DINT			IN	RW	
	ROB_IN.Strings[2].Length	DINT			IN	RW	
	ROB_IN.Strings[1].Txt	STRING(82)			IN	RW	
	ROB_IN.Strings[2].Txt	STRING(82)			IN	RW	
	ROB_IN.Bools	BOOL[641..704]			IN	RW	
	ROB_OUT.Reals	REAL[1..64]			OUT	RW	
	ROB_OUT.Ints	INT[1..24]			OUT	RW	
	ROB_OUT.Strings[1].Length	DINT			OUT	RW	
	ROB_OUT.Strings[2].Length	DINT			OUT	RW	
	ROB_OUT.Strings[1].Txt	STRING(82)			OUT	RW	
	ROB_OUT.Strings[2].Txt	STRING(82)			OUT	RW	
	ROB_OUT.Bools	BOOL[1641..1704]			OUT	RW	
	alarme.alta	BOOL[0..29]			TRUE	RW	
	alarme.media	BOOL[0..29]			TRUE	RW	
	alarme.baixa	BOOL[0..29]			TRUE	RW	
	alarme.altaAtivo	BOOL			TRUE	RW	
	alarme.mediaAtivo	BOOL			TRUE	RW	
	alarme.baixaAtivo	BOOL			TRUE	RW	
	painel.minIniciaTurnos	INT			TRUE	RW	
	painel.c_Manual_Automatico	BOOL			TRUE	RW	
	painel.b_iniciaCiclo	BOOL			TRUE	RW	
	painel.disjuntorMisturador	BOOL			TRUE	RW	
	painel.disjuntorDosador	BOOL			TRUE	RW	
	painel.pressostato	BOOL			TRUE	RW	
	painel.fluxostato	BOOL			TRUE	RW	
	torreLuminosa.ledVerde	BOOL			TRUE	RW	
	torreLuminosa.ledAmarelo	BOOL			TRUE	RW	
	torreLuminosa.ledVermelho	BOOL			TRUE	RW	
	torreLuminosa.buzzer	BOOL			TRUE	RW	
	esteiraBandeja.sensorBandejaEntrada	BOOL			TRUE	RW	
	esteiraBandeja.sensorBandejaSaida	BOOL			TRUE	RW	
	esteiraBandeja.vel	INT			TRUE	RW	
	esteiraBandeja.Run	BOOL			TRUE	RW	
	esteiraBandeja.iniciaTrab	BOOL			TRUE	RW	
	esteiraBandeja.fimTrab	BOOL			TRUE	RW	
	esteiraBandeja.passo	INT			TRUE	RW	
	esteiraBandeja.posEncoder	INT			TRUE	RW	
	esteiraBandeja.jogPlus	BOOL			TRUE	RW	
	esteiraBandeja.jogMinus	BOOL			TRUE	RW	
	esteiraBandeja.movePos	BOOL			TRUE	RW	
	esteiraBandeja.referenciaOk	BOOL			TRUE	RW	
	esteiraBandeja.posOk	BOOL			TRUE	RW	
	esteiraBandeja.irParaPos_ihm	BOOL			TRUE	RW	
	esteiraBandeja.moveFrente	BOOL			TRUE	RW	
	esteiraPlantas.vel	INT			TRUE	RW	
	esteiraPlantas.Run	BOOL			TRUE	RW	
	esteiraPlantas.jogPlus	BOOL			TRUE	RW	
	esteiraPlantas.jogMinus	BOOL			TRUE	RW	
	esteiraPlantas.passo	INT			TRUE	RW	
	esteiraPlantas.posEncoder	INT			TRUE	RW	
	esteiraPlantas.cilDescarteRecua	BOOL			TRUE	RW	
	esteiraPlantas.cilDescarteAvanca	BOOL			TRUE	RW	
	esteiraPlantas.cilTravaRecua	BOOL			TRUE	RW	
	esteiraPlantas.cilTravaAvanca	BOOL			TRUE	RW	
	esteiraPlantas.sensorBandejaPosOk	BOOL			TRUE	RW	
	esteiraPlantas.ihmCilDescarteRecua	BOOL			TRUE	RW	
	esteiraPlantas.ihmCilDescarteAvanca	BOOL			TRUE	RW	
	esteiraPlantas.ihmCilTravaRecua	BOOL			TRUE	RW	
